StudentID,StudyHoursPerWeek,SleepHoursPerNight,AttendanceRate,PreviousGPA,CommuteMinutes
28,13.83,9.02,1.0,9.35,9.7
137,13.57,7.26,0.987,8.9,25.6
212,5.37,7.52,0.866,7.09,25.1
204,15.22,5.37,0.894,8.08,25.7
5,2.24,7.1,0.853,7.93,11.9
33,9.44,8.9,0.857,8.86,31.7
120,10.8,7.67,0.809,6.83,34.9
160,6.08,6.5,0.738,6.97,33.1
127,19.32,6.35,0.867,8.04,33.0
159,9.5,8.76,0.899,8.25,34.7
115,12.36,7.04,0.873,8.01,23.7
11,16.4,5.39,0.87,8.71,15.0
63,12.81,8.02,0.822,5.95,30.9
165,16.19,5.24,0.829,6.32,15.9
195,6.46,6.69,0.855,8.25,14.0
182,13.1,7.22,0.883,8.03,42.4
129,8.8,5.26,0.924,7.03,34.1
199,11.97,6.92,0.926,6.26,18.0
168,13.92,7.58,0.916,7.89,31.5
71,5.62,6.72,0.755,8.4,4.3
171,8.73,4.46,0.797,8.36,10.1
65,15.56,5.78,0.643,7.17,28.5
45,12.58,7.52,0.875,8.94,23.0
144,13.34,5.84,0.794,8.34,32.4
41,15.72,6.74,0.898,9.0,21.2
124,18.8,7.46,0.819,8.8,32.6
24,11.23,5.39,0.714,7.53,44.1
166,7.49,6.13,0.923,8.03,14.7
162,8.37,8.44,0.834,9.29,36.7
82,8.69,5.31,0.809,9.07,26.6
40,15.25,5.49,1.0,7.82,2.4
185,14.14,7.57,0.918,8.12,17.3
48,13.12,7.39,0.914,8.5,30.0
95,3.56,7.91,0.755,9.61,13.0
169,11.22,7.3,0.745,9.09,13.5
44,13.16,6.39,0.926,7.95,18.1
146,9.92,8.63,1.0,8.99,20.6
153,3.63,7.94,1.0,8.23,19.0
4,16.7,5.81,0.986,7.69,10.9
106,10.97,7.8,0.867,6.39,32.6
54,10.4,9.3,0.916,7.99,44.8
134,10.89,7.9,0.808,8.35,5.1
200,11.18,8.49,0.922,8.6,42.2
172,14.23,7.06,0.899,9.41,22.6
205,1.75,6.02,0.853,7.38,26.3
50,12.34,7.0,0.933,8.58,25.9
81,14.28,8.9,0.802,8.9,44.4
35,15.08,6.73,0.93,7.26,36.8
8,10.42,9.06,0.853,8.43,19.8
111,14.17,8.66,0.911,9.56,35.4
92,11.51,7.48,0.805,7.73,23.7
84,10.09,6.64,0.865,6.33,23.7
196,7.53,7.22,0.857,8.01,27.7
201,13.69,7.1,0.76,7.12,27.9
90,14.23,8.91,1.0,7.2,25.4
9,11.92,6.06,0.969,7.53,0.0
14,17.64,8.33,1.0,6.81,25.5
60,16.84,7.29,0.76,7.08,35.4
214,9.58,4.99,0.792,8.06,27.2
132,5.12,7.93,0.875,6.87,42.3
18,7.21,6.82,0.812,8.38,14.7
167,16.66,7.48,0.941,8.03,18.5
73,7.4,8.62,0.888,8.49,30.7
193,10.08,6.25,0.848,8.82,22.2
