StudentID,StudyHoursPerWeek,SleepHoursPerNight,AttendanceRate,PreviousGPA,CommuteMinutes,FinalExamScore
109,16.2,5.71,0.937,6.85,21.4,74.3
110,3.36,6.43,0.933,9.51,19.2,60.2
111,14.17,8.66,0.911,9.56,35.4,89.1
112,13.19,7.7,0.925,9.22,42.8,71.8
113,9.03,6.23,0.904,8.23,46.5,53.4
114,4.77,5.88,1.0,9.22,40.8,51.1
115,12.36,7.04,0.873,8.01,23.7,46.9
116,9.35,5.66,0.855,8.18,29.2,43.9
117,13.16,6.26,0.82,7.02,34.2,41.3
118,12.11,7.34,0.797,8.36,26.5,49.9
119,20.01,8.27,0.78,8.05,26.6,71.2
120,10.8,7.67,0.809,6.83,34.9,62.7
121,6.88,4.48,0.874,7.95,24.3,43.1
122,12.9,7.33,0.907,7.93,16.2,76.1
123,13.1,7.08,0.884,9.62,20.0,78.6
124,18.8,7.46,0.819,8.8,32.6,83.4
125,16.18,8.78,0.952,8.01,25.0,74.4
126,13.78,4.73,0.939,8.22,29.1,62.0
127,19.32,6.35,0.867,8.04,33.0,75.8
128,6.06,7.65,0.828,7.82,20.5,50.9
129,8.8,5.26,0.924,7.03,34.1,48.4
130,7.37,8.62,0.895,7.86,29.5,66.0
131,10.05,7.41,0.764,7.33,10.2,52.8
132,5.12,7.93,0.875,6.87,42.3,40.2
133,15.18,6.37,0.901,8.46,19.0,62.0
134,10.89,7.9,0.808,8.35,5.1,68.5
135,4.65,8.18,0.895,6.39,12.5,51.3
136,6.92,7.26,0.764,7.89,12.7,48.6
137,13.57,7.26,0.987,8.9,25.6,75.7
138,16.19,7.3,0.98,8.95,21.7,84.2
139,21.98,6.05,0.86,8.92,21.0,84.5
140,26.57,6.84,0.909,8.04,32.4,96.3
141,14.07,6.83,0.687,7.24,29.1,63.4
142,7.05,7.42,0.787,7.02,28.8,41.7
143,1.34,8.1,0.856,8.31,29.9,62.7
144,13.34,5.84,0.794,8.34,32.4,55.4
145,7.94,6.86,0.937,9.16,0.0,74.7
146,9.92,8.63,1.0,8.99,20.6,77.9
147,8.94,6.18,0.786,7.88,0.0,51.5
148,11.3,6.1,0.813,6.88,25.4,37.7
149,17.33,7.22,0.899,7.71,24.9,70.6
150,12.79,7.93,1.0,8.2,37.5,62.0
151,11.21,7.01,0.782,7.82,39.3,62.7
152,6.82,8.46,0.9,7.48,27.4,68.7
153,3.63,7.94,1.0,8.23,19.0,54.7
154,9.57,7.93,0.748,7.55,30.8,58.3
155,11.73,7.61,0.778,7.43,18.7,55.2
156,20.84,9.56,0.846,8.28,25.0,85.6
157,12.65,6.77,0.838,7.64,36.8,63.6
158,16.91,4.8,0.945,8.22,18.3,65.1
159,9.5,8.76,0.899,8.25,34.7,79.5
160,6.08,6.5,0.738,6.97,33.1,37.1
161,7.17,7.12,0.921,7.57,13.5,62.7
162,8.37,8.44,0.834,9.29,36.7,69.6
163,22.64,5.24,0.982,6.95,33.4,73.4
164,7.89,5.62,0.83,6.1,26.2,34.6
165,16.19,5.24,0.829,6.32,15.9,51.3
166,7.49,6.13,0.923,8.03,14.7,54.2
167,16.66,7.48,0.941,8.03,18.5,70.3
168,13.92,7.58,0.916,7.89,31.5,73.0
169,11.22,7.3,0.745,9.09,13.5,71.5
170,11.8,5.45,0.923,5.59,30.3,46.1
171,8.73,4.46,0.797,8.36,10.1,58.1
172,14.23,7.06,0.899,9.41,22.6,85.9
173,9.73,6.48,0.766,6.98,26.3,45.2
174,5.87,7.51,0.916,7.66,54.3,53.8
175,5.61,7.77,0.815,7.32,8.5,48.5
176,12.86,7.15,0.777,7.2,42.7,55.5
177,19.9,7.84,0.937,7.71,26.8,75.6
178,12.8,7.25,0.899,9.28,29.9,83.9
179,11.41,7.58,0.831,9.65,26.4,75.6
180,13.43,6.22,0.996,7.7,30.3,61.8
181,18.53,6.8,0.845,9.71,23.2,90.1
182,13.1,7.22,0.883,8.03,42.4,50.2
183,9.95,7.9,0.902,9.58,19.5,61.8
184,17.53,6.57,0.83,7.92,38.6,71.8
185,14.14,7.57,0.918,8.12,17.3,72.5
186,19.68,6.71,0.837,8.33,24.3,76.7
187,12.92,6.87,0.847,10.0,12.1,68.2
188,5.88,7.91,0.989,8.77,30.5,64.7
189,5.16,4.81,0.797,7.36,42.3,47.2
190,20.25,5.57,0.687,8.87,24.1,75.0
191,20.62,5.37,1.0,7.67,22.6,72.8
192,11.1,4.43,1.0,7.56,11.6,50.1
193,10.08,6.25,0.848,8.82,22.2,58.6
194,19.31,7.82,0.725,8.03,5.9,62.7
195,6.46,6.69,0.855,8.25,14.0,56.8
196,7.53,7.22,0.857,8.01,27.7,61.7
197,15.22,8.2,0.865,8.3,40.8,63.1
198,10.03,8.46,0.791,8.38,58.7,58.0
199,11.97,6.92,0.926,6.26,18.0,47.2
200,11.18,8.49,0.922,8.6,42.2,65.3
201,13.69,7.1,0.76,7.12,27.9,57.6
202,19.04,6.08,0.936,6.7,23.2,51.0
203,12.45,6.35,1.0,7.95,30.2,67.8
204,15.22,5.37,0.894,8.08,25.7,66.9
205,1.75,6.02,0.853,7.38,26.3,36.2
206,11.76,6.61,0.869,8.75,20.1,49.8
207,7.78,7.88,0.929,6.79,8.2,50.3
208,5.91,8.89,0.742,7.63,6.5,66.0
209,7.61,5.48,0.893,7.47,32.8,27.7
210,10.33,7.43,0.849,7.96,21.7,59.6
211,16.58,5.86,1.0,8.25,17.8,63.8
212,5.37,7.52,0.866,7.09,25.1,54.4
213,12.15,6.86,1.0,8.65,34.5,64.9
214,9.58,4.99,0.792,8.06,27.2,50.5
215,10.36,8.02,0.927,6.3,17.1,61.1
216,17.01,6.33,0.906,6.24,39.7,68.7
217,14.69,6.41,0.81,7.99,44.0,59.2
218,18.69,5.82,0.894,7.8,30.9,69.7
219,11.23,6.28,0.977,7.91,36.7,50.2
220,8.52,7.47,0.854,7.97,39.9,64.9
